Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92100,250000,30.14,7797,2
92700,295000,48.0,6146,2
92100,179500,19.0,9447,1
92700,296000,41.0,7220,2
92250,220000,25.0,8800,2
92120,245000,36.0,6806,2
92500,160000,49.0,3061,2
92350,230000,54.56,4216,3 m² de terrain
92170,240000,38.0,6316,2
92170,248000,30.74,7807,2
92130,248000,30.74,7807,2
92130,199000,23.62,8425,1
92500,225000,30.0,7500,1
92140,289000,52.51,5504,3
92600,249000,32.0,7781,2
92160,186000,26.53,6581,1
92140,241500,53.0,4557,2
92700,296000,69.0,4290,4
92160,279000,60.0,4650,3
92350,275000,52.0,5192,3
92600,200000,32.0,6250,2
92160,294000,59.0,4983,3
92200,245000,30.06,8150,2
92350,231000,34.0,6324,1
92350,169500,30.8,5195,1
92350,169500,30.8,5195,1
92230,285000,43.0,6628,2
92230,285000,43.0,6628,2
92300,208000,26.6,7519,1
92130,298000,39.4,7360,2
92250,276000,39.03,7071,2
92000,195000,34.33,5389,2
92250,276000,39.03,7071,2
92140,245000,29.58,8283,1
92230,289000,80.0,3613,4
92140,149000,17.42,8152,1
92120,249500,38.0,6368,2
92700,175000,30.0,5833,3
92000,199500,30.0,6650,2
92400,276000,28.2,9321,1
92160,225000,31.0,7258,1
92110,283250,41.0,6909,2
92170,230000,26.0,8846,1
92400,245000,37.85,6156,2
92230,158000,34.96,4519,2
92000,179000,29.4,5816,1
92270,208650,31.75,6572,2
92600,299000,47.0,6362,3
92340,195000,25.0,7400,2
92240,290000,38.55,7523,2
92290,165000,27.0,6111,1
92360,214000,55.0,3727,3
92700,240000,46.0,5217,2
92170,262000,30.0,8733,1
92300,300000,29.0,1000,1
92120,287000,44.19,6495,2
92220,267750,56.0,4554,3
92500,295000,50.0,5900,3
92160,262000,42.0,5952,2
92320,262000,66.81,3742,3
92600,280000,43.0,6279,3
92400,197000,24.8,7460,1
92600,170000,21.0,8095,1
92290,296000,36.52,8105,2
92700,250000,47.0,5319,2
92400,177117,24.72,7165,1
92400,239000,28.91,7949,1
92500,300000,54.98,5457,3
92330,159000,27.0,5630,1
92260,170000,30.03,5328,2
92150,247000,33.02,7480,1
92130,278000,24.1,11200,1
92360,231000,69.0,3188,4
92270,139500,20.88,6681,1
92210,300000,36.7,7898,2
92230,239000,71.7,3333,3
92140,300000,78.86,3804,4
92160,175000,32.0,5469,1
92320,80000,9.0,7778,1
92140,205000,35.66,5749,2
92160,289000,45.0,6422,2
92500,250000,46.87,5104,2
92100,260000,25.84,9675,1
92600,300000,42.0,7143,2
92600,300000,42.0,7143,2
92360,231000,65.0,3385,3
92100,166000,16.67,9418,1
92290,157000,26.0,6038,1
92500,235000,30.0,7833,1
92290,170000,37.0,4595,1
92100,299000,26.58,10700,1
92380,295000,43.37,6540,2
92270,132500,17.01,7790,1
92600,110603,18.42,6005,1
92400,238135,28.44,8373,1
92000,268000,55.16,4859,3
92300,57000,12.23,4088,1
92140,162000,31.08,5212,2
92250,285000,29.0,9828,1
92700,207000,33.0,6273,1
92140,290000,47.0,6170,2
92600,262000,38.31,6526,2
92500,160000,49.11,3258,2
92210,277000,25.0,10600,1
92130,159000,19.0,8368,1
92130,280000,31.1,9003,1
92270,147000,21.0,7000,1
92400,279900,37.0,7565,2
92600,152000,21.0,7238,1
92000,229900,35.0,6569,1
92400,300000,34.0,8824,1
92500,160000,27.0,5926,2
92290,288000,61.61,4675,3
92300,211000,39.71,5037,1
92600,190000,30.0,6333,2
92600,251000,40.0,6275,2
