Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Volkswagen Coccinelle Cabriolet,23699.0,22/03/2016,0,30219,,,8.0,150.0
Mitsubishi Outlander,24999.0,31/03/2017,0,89858,Hybride essence,Boîte automatique 5 rapports,5.0,120.0
Audi A5 Sportback,26999.0,22/12/2017,0,21971,Essence,Boîte manuelle 6 rapports,10.0,190.0
Jaguar XF,26749.0,21/12/2016,0,72035,Diesel,Boîte automatique,19.0,301.0
Mercedes GLC,32799.0,25/02/2016,0,53200,Diesel,Boîte automatique 9 rapports,11.0,204.0
Seat Leon SC,23499.0,24/11/2014,0,30967,Essence,Boîte automatique 6 rapports,17.0,280.0
Audi A4 Avant,29099.0,15/03/2017,0,88884,Diesel,Boîte automatique,12.0,218.0
Opel Mokka Nouveau,25999.0,08/02/2022,0,21110,,,7.0,130.0
Skoda Karoq,27799.0,22/11/2021,0,15546,Diesel,Boîte manuelle,,5.0
Toyota YARIS CROSS,28999.0,03/08/2022,0,1249,,,5.0,92.0
Toyota Corolla,26799.0,04/11/2019,0,17854,Hybride essence,Boîte automatique,,9.0
Ssangyong Korando,24317.0,12/05/2020,0,14836,,,,8.0
BMW X3,26499.0,05/02/2016,0,117195,Diesel,Boîte automatique 8 rapports,10.0,190.0
BMW Série 4 Gran Coupé,26999.0,11/12/2017,0,71692,Diesel,Boîte automatique 8 rapports,10.0,190.0
Mercedes Classe A,37499.0,01/10/2022,1,0,Diesel,Boîte automatique 8 rapports,6.0,116.0
Cupra FORMENTOR,29399.0,04/05/2021,0,12408,Essence,Boîte manuelle,8.0,150.0
Mini Hatch 3 Portes F56 LCI II,25399.0,08/04/2021,0,32461,,,7.0,136.0
Volkswagen Coccinelle,25599.0,25/07/2018,0,27410,Essence,Boîte automatique,6.0,105.0
Kia Sorento,23999.0,30/11/2017,0,71935,,,11.0,200.0
Toyota Corolla Nouvelle,25599.0,22/09/2021,0,17865,Hybride essence,Boîte automatique 1 rapport,5.0,98.0
Renault GRAND SCENIC IV BUSINESS,25095.0,29/03/2021,0,35140,Essence,Boîte manuelle 6 rapports,8.0,140.0
Audi A4 Allroad,26999.0,09/06/2016,0,121462,Diesel,Boîte automatique 7 rapports,12.0,218.0
Audi Q3 Nouveau,29499.0,25/07/2019,0,93298,Diesel,Boîte automatique 7 rapports,10.0,190.0
Citroën C5 X,36499.0,29/11/2022,1,0,Essence,Boîte automatique 8 rapports,10.0,181.0
Kia Pro Ceed,29044.0,13/07/2022,0,11714,,,8.0,160.0
BMW Série 2 Gran Coupé,27099.0,16/01/2018,0,73169,,,10.0,190.0
Volkswagen Tiguan Allspace,38999.0,05/10/2022,1,0,Essence,Boîte automatique 7 rapports,8.0,150.0
Citroën C5 X,36499.0,29/11/2022,1,0,Essence,Boîte automatique 8 rapports,10.0,181.0
Kia Pro Ceed,29044.0,13/07/2022,0,11714,,,8.0,160.0
BMW Série 2 Gran Coupé,27099.0,16/01/2018,0,73169,,,10.0,190.0
